block_datetime,value
2015-08-07,2.8469872782999424e+23
2015-08-08,1.3583219939374861e+25
2015-08-09,1.1654552745955461e+24
2015-08-10,1.670910898560508e+24
2015-08-11,1.485731533602608e+24
2015-08-12,7.474876990229745e+23
2015-08-13,1.78785385400364e+24
2015-08-14,2.29544908010175e+24
2015-08-15,4.6312815509520375e+24
2015-08-16,1.708588895731933e+24
2015-08-17,2.1373638942596935e+23
