block_datetime,value
2015-09-17,3.799743669e+19
2015-09-18,4.0780641537773964e+23
2015-09-19,3.907419500615395e+23
2015-09-20,1.3157148332399847e+23
2015-09-21,1.5771051778762482e+23
2015-09-22,1.9463909438652943e+23
2015-09-23,1.3110821744361809e+23
2015-09-24,3.067231986219798e+23
2015-09-25,6.621149452517878e+23
2015-09-26,2.5134350181912787e+23
2015-09-27,3.624304499434716e+23
